Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.41553435639707E-15,-4.71844785465692E-16,0.0288056562241538,0,0,0,0.264155966188661,0.000191703889145688,-1.01643953670516E-19,3.81752398479301E-19,0.000191703889145687,3.86090054110609E-19,0.000346372311960018,0,0,0,0,0,0,package://FullAsm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/base_link.STL,,base plate-1;top plate-1;servo motor-11;servo motor-9;servo motor-12;servo motor-10,base cord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R1_coxa_Link,0.0319537213335016,0.0310974587430851,0.0359048445285311,0,0,0,0.0539542934009624,1.79140856008986E-05,-8.28431627444303E-07,-3.99422177356252E-07,1.70241970773438E-05,-4.83387445637515E-07,1.14589731586849E-05,0,0,0,0,0,0,package://FullAsm/meshes/R1_coxa_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/R1_coxa_Link.STL,,coxa connector left-1;servo connector-1;servo motor-1,R1 coxa cord,R1 coxa axis,R1_coxa_joint,revolute,0.035355,0.035355,0.0025,0,0,0,base_link,0,0,-1,1,5,-1.57,1.57,,,,,,,,
R1_femur_link,0.0600000067722221,0.0169799829054785,2.74393535670825E-09,0,0,0,0.0310992117923054,2.08788304936673E-05,-5.42023122137315E-12,7.13781548232325E-12,2.70886181671167E-05,-2.21908184045855E-12,4.69152636620846E-05,0,0,0,0,0,0,package://FullAsm/meshes/R1_femur_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/R1_femur_link.STL,,femur-1,R1 femur cord,R1 femur axis,R1_femur_joint,revolute,0.049215,0.021496,0.04615,0,0,0.7854,R1_coxa_Link,0,1,0,1,5,-1.57,1.57,,,,,,,,
R1_tibia_link,0.00655839970820876,0.0169182504471019,-0.0341878336261486,0,0,0,0.102493419295609,0.000133366857804648,3.60615523352416E-07,5.68880289709341E-05,0.000178872969471293,-4.05040597178534E-07,9.06257050479811E-05,0,0,0,0,0,0,package://FullAsm/meshes/R1_tibia_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/R1_tibia_link.STL,,femur-1;servo connector-2;tibia left-1,R1 tibia cord,R1 tibia axis,R1_tibia_joint,revolute,0.12,0,0,0,0,0,R1_femur_link,0,1,0,1,5,-1.57,1.57,,,,,,,,
R2_coxa_link,0.0310974587430911,-0.0319537213334928,0.0359048445285313,0,0,0,0.0539542934009624,1.70241970773437E-05,8.28431627444244E-07,-4.83387445637536E-07,1.79140856008988E-05,3.99422177356189E-07,1.14589731586849E-05,0,0,0,0,0,0,package://FullAsm/meshes/R2_coxa_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/R2_coxa_link.STL,,coxa connector left-2;servo motor-3;servo connector-3,R2 coxa cord,R2 coxa axis,R2_coxa_joint,revolute,0.035355,-0.035355,0.0025,0,0,0,base_link,0,0,-1,1,5,-1.57,1.57,,,,,,,,
R2_femur_link,0.0599999932277789,0.016979982905482,-2.74393624488667E-09,0,0,0,0.0310992117923055,2.08788304936673E-05,5.42023159118705E-12,7.137815649975E-12,2.70886181671167E-05,2.21908189828794E-12,4.69152636620847E-05,0,0,0,0,0,0,package://FullAsm/meshes/R2_femur_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/R2_femur_link.STL,,femur-2,R2 femur cord,R2 femur axis,R2_femur_joint,revolute,0.021496,-0.049215,0.04615,0,0,-0.7854,R2_coxa_link,0,1,0,1,5,-1.57,1.57,,,,,,,,
R2_tibia_link,0.0243017082939564,0.0185913598036986,-0.0370672669441691,0,0,0,0.104443081837186,0.000121643154490973,3.60620943581672E-07,5.68880218331182E-05,0.000157623358212149,-4.28856713660739E-07,4.92247664987081E-05,0,0,0,0,0,0,package://FullAsm/meshes/R2_tibia_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/R2_tibia_link.STL,,tibia left-2;servo motor-4;servo connector-4,R2 tibia cord,R2 tibia axis,R2_tibia_joint,revolute,0.12,0,0,0,0,0,R2_femur_link,0,1,0,1,5,-1.57,1.57,,,,,,,,
L1_coxa_link,-0.0319497690555947,0.0310935472043496,0.0359057644094145,0,0,0,0.0539261316374727,1.7912094768253E-05,8.17537200503761E-07,3.97786490063485E-07,1.70228949913427E-05,-4.82159616554615E-07,1.14356954253514E-05,0,0,0,0,0,0,package://FullAsm/meshes/L1_coxa_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/L1_coxa_link.STL,,coxa connector right-2;servo motor-7;servo connector-7,L1 coxa cord,L1 coxa axis,L1_coxa_joint,revolute,-0.035355,0.035355,0.0025,0,0,0,base_link,0,0,-1,1,5,-1.57,1.57,,,,,,,,
L1_femur_link,0.0600000067722205,-0.0169799829054843,-2.74393627264224E-09,0,0,0,0.0310992117923055,2.08788304936672E-05,5.4202318400928E-12,-7.13781508057575E-12,2.70886181671165E-05,-2.21908189095005E-12,4.69152636620846E-05,0,0,0,0,0,0,package://FullAsm/meshes/L1_femur_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/L1_femur_link.STL,,femur-4,L1 femur cord,L1 femur axis,L1_femur_joint,revolute,-0.049215,0.021496,0.04615,0,0,2.3562,L1_coxa_link,0,-1,0,1,5,-1.57,1.57,,,,,,,,
L1_tibia_link,0.0243017574568316,-0.0185912905496515,-0.0370679121812122,0,0,0,0.10444112998834,0.000107365982774126,-5.78784139325519E-11,4.13079296419853E-05,0.00012531441307428,3.37487310023238E-08,3.10572487318309E-05,0,0,0,0,0,0,package://FullAsm/meshes/L1_tibia_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAsm/meshes/L1_tibia_link.STL,,tibia-2;servo motor-8;servo connector-8,L1 tibia cord,L1 tibia axis,L1_tibia_joint,revolute,0.12,0,0,0,0,0,L1_femur_link,0,-1,0,1,5,-1.57,1.57,,,,,,,,
